name,club,age,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing,market_value
Willian,Chelsea,28,RW,1,1165,7.0,9.00%,114,3.0,Brazil,0,4,5,1,0,32.0
Salomon Rondon,West+Brom,27,CF,1,502,6.5,2.00%,118,3.0,Venezuela,0,3,19,0,0,15.0
Sam Vokes,Burnley,27,CF,1,290,6.0,2.90%,121,2.0,Wales,0,3,4,0,0,4.5
Alfie Mawson,Swansea,23,CB,3,509,5.0,1.80%,94,1.0,England,0,2,16,0,1,6.0
Leroy Sane,Manchester+City,21,LW,1,2302,8.5,8.80%,105,2.0,Germany,0,1,11,1,1,35.0
Stephen Ward,Burnley,31,LB,3,152,4.5,2.50%,91,2.0,Ireland,0,4,4,0,0,1.5
Per Mertesacker,Arsenal,32,CB,3,702,5.0,1.00%,1,2.0,Germany,0,5,1,1,0,6.0
Fernandinho,Manchester+City,32,DM,2,595,5.0,0.80%,78,3.0,Brazil,0,5,11,1,0,18.0
Troy Deeney,Watford,29,CF,1,1141,6.5,3.40%,130,1.0,England,0,4,18,0,0,11.0
Danny Welbeck,Arsenal,26,CF,1,1521,7.5,0.50%,37,1.0,England,0,3,1,1,0,15.0
Ederson Moraes,Manchester+City,23,GK,4,297,5.5,4.50%,0,3.0,Brazil,1,2,11,1,0,22.0
